Recipient,Office,Contributions(Total),Cycle
"Clinton, Hillary (D)",Pres,"$1,614,663",2016
"Sanders, Bernie (D-VT)",Senate,"$357,510",2016
"Khanna, Ro (D-CA)",House,"$95,270",2016
"Schumer, Charles E (D-NY)",Senate,"$85,718",2016
"Harris, Kamala D (D-CA)",Senate,"$81,485",2016
"Bennet, Michael F (D-CO)",Senate,"$46,500",2016
"Campbell, Foster (D-LA)",Senate,"$45,000",2016
"Stein, Jill (3)",Pres,"$44,513",2016
"Wyden, Ron (D-OR)",Senate,"$41,475",2016
"McGinty, Katie (D-PA)",Senate,"$40,884",2016
"Hassan, Maggie (D-NH)",Senate,"$39,821",2016
"Feingold, Russ (D-WI)",Senate,"$33,820",2016
"Lofgren, Zoe (D-CA)",House,"$28,200",2016
"Ross, Deborah (D-NC)",Senate,"$24,870",2016
"Eshoo, Anna (D-CA)",House,"$23,500",2016
"Masto, Catherine Cortez (D-NV)",Senate,"$23,218",2016
"Walden, Greg (R-OR)",House,"$23,200",2016
"Kander, Jason (D-MO)",Senate,"$22,197",2016
"Bush, Jeb (R)",Pres,"$22,100",2016
"Trump, Donald (R)",Pres,"$21,921",2016
"Issa, Darrell (R-CA)",House,"$20,800",2016
"Schatz, Brian (D-HI)",Senate,"$20,800",2016
"Kennedy, Joe III (D-MA)",House,"$20,300",2016
"Lessig, Lawrence (D)",Pres,"$19,984",2016
"McCain, John (R-AZ)",Senate,"$19,900",2016
"Rubio, Marco (R-FL)",Senate,"$19,638",2016
"Nadler, Jerrold (D-NY)",House,"$19,100",2016
"Ayotte, Kelly (R-NH)",Senate,"$18,600",2016
"Leahy, Patrick (D-VT)",Senate,"$18,600",2016
"Ryan, Paul (R-WI)",House,"$18,575",2016
"Hoyer, Steny H (D-MD)",House,"$18,350",2016
"Crowley, Joseph (D-NY)",House,"$18,300",2016
"Goodlatte, Bob (R-VA)",House,"$18,100",2016
"Strickland, Ted (D-OH)",Senate,"$17,743",2016
"Portman, Rob (R-OH)",Senate,"$17,700",2016
"Scalise, Steve (R-LA)",House,"$16,800",2016
"Grayson, Alan (D-FL)",House,"$16,257",2016
"Pelosi, Nancy (D-CA)",House,"$15,875",2016
"McCarthy, Kevin (R-CA)",House,"$15,400",2016
"Pallone, Frank Jr (D-NJ)",House,"$15,400",2016
"Murkowski, Lisa (R-AK)",Senate,"$15,000",2016
"Walkinshaw, Brady (D-WA)",House,"$14,650",2016
"Duckworth, Tammy (D-IL)",House,"$13,985",2016
"Thune, John (R-SD)",Senate,"$13,100",2016
"Grassley, Chuck (R-IA)",Senate,"$12,950",2016
"Blunt, Roy (R-MO)",Senate,"$12,700",2016
"Chaffetz, Jason (R-UT)",House,"$12,700",2016
"Clyburn, James E (D-SC)",House,"$12,700",2016
"Farenthold, Blake (R-TX)",House,"$12,700",2016
"Honda, Mike (D-CA)",House,"$12,700",2016
"Lee, Barbara (D-CA)",House,"$12,150",2016
"Comstock, Barbara (R-VA)",House,"$11,700",2016
"Sanchez, Linda (D-CA)",House,"$11,700",2016
"Kirk, Mark (R-IL)",Senate,"$11,600",2016
"Demings, Val (D-FL)",House,"$11,500",2016
"Young, Todd (R-IN)",House,"$11,500",2016
"Toomey, Pat (R-PA)",Senate,"$11,400",2016
"Kasich, John (R)",Pres,"$11,231",2016
"Burr, Richard (R-NC)",Senate,"$11,090",2016
"Isakson, Johnny (R-GA)",Senate,"$11,000",2016
"Upton, Fred (R-MI)",House,"$11,000",2016
"Polis, Jared (D-CO)",House,"$10,800",2016
"Murphy, Patrick (D-FL)",House,"$10,686",2016
"Paulsen, Erik (R-MN)",House,"$10,500",2016
"Becerra, Xavier (D-CA)",House,"$10,200",2016
"Foster, Bill (D-IL)",House,"$10,050",2016
"Gillibrand, Kirsten (D-NY)",Senate,"$10,011",2016
"Brady, Kevin (R-TX)",House,"$10,000",2016
"Jordan, Jim (R-OH)",House,"$10,000",2016
"McCaul, Michael (R-TX)",House,"$10,000",2016
"Nunes, Devin (R-CA)",House,"$10,000",2016
"Rodgers, Cathy McMorris (R-WA)",House,"$10,000",2016
"Roskam, Peter (R-IL)",House,"$10,000",2016
"Royce, Ed (R-CA)",House,"$10,000",2016
"Sensenbrenner, F James Jr (R-WI)",House,"$10,000",2016
"Shimkus, John M (R-IL)",House,"$10,000",2016
"Shuster, Bill (R-PA)",House,"$10,000",2016
"Yoder, Kevin (R-KS)",House,"$10,000",2016
"Sittenfeld, P G (D-OH)",Senate,"$9,850",2016
"Bayh, Evan (D-IN)",Senate,"$9,767",2016
"Moulton, Seth (D-MA)",House,"$9,600",2016
"Lujan, Ben R (D-NM)",House,"$9,500",2016
"Stabenow, Debbie (D-MI)",Senate,"$9,400",2016
"Johnson, Ron (R-WI)",Senate,"$9,200",2016
"Ryan, Tim (D-OH)",House,"$9,050",2016
"Scott, Tim (R-SC)",Senate,"$9,000",2016
"McHenry, Patrick (R-NC)",House,"$8,500",2016
"Walker, Scott (R)",Pres,"$8,350",2016
"Crist, Charlie (D-FL)",House,"$7,900",2016
"Paul, Rand (R-KY)",Senate,"$7,756",2016
"Schiff, Adam (D-CA)",House,"$7,700",2016
"Esty, Elizabeth (D-CT)",House,"$7,650",2016
"Teachout, Zephyr (D-NY)",House,"$7,606",2016
"Neal, Richard E (D-MA)",House,"$7,600",2016
"Burgess, Michael (R-TX)",House,"$7,500",2016
"Butterfield, G K (D-NC)",House,"$7,500",2016
"Cardenas, Tony (D-CA)",House,"$7,500",2016
"Lee, Mike (R-UT)",Senate,"$7,500",2016
"Matsui, Doris O (D-CA)",House,"$7,500",2016
"Perdue, David (R-GA)",Senate,"$7,500",2016
"Poe, Ted (R-TX)",House,"$7,500",2016
"Wicker, Roger (R-MS)",Senate,"$7,500",2016
"Booker, Cory (D-NJ)",Senate,"$7,440",2016
"Jayapal, Pramila (D-WA)",House,"$7,400",2016
"Sundheim, Duf (R-CA)",Senate,"$7,400",2016
"Murray, Patty (D-WA)",Senate,"$7,250",2016
"Kirkpatrick, Ann (D-AZ)",House,"$7,213",2016
"Welch, Peter (D-VT)",House,"$7,044",2016
"Denham, Jeff (R-CA)",House,"$7,000",2016
"Hurd, Will (R-TX)",House,"$7,000",2016
"Canova, Tim (D-FL)",House,"$6,980",2016
"Matthews, Kathleen (D-MD)",House,"$6,900",2016
"Johnson, Gary (L)",Pres,"$6,612",2016
"Van Hollen, Chris (D-MD)",House,"$6,600",2016
"Juneau, Denise (D-MT)",House,"$6,546",2016
"Espaillat, Adriano (D-NY)",House,"$6,500",2016
"Larson, John B (D-CT)",House,"$6,500",2016
"Shelby, Richard C (R-AL)",Senate,"$6,500",2016
"Carbajal, Salud (D-CA)",House,"$6,400",2016
"Walters, Mimi (R-CA)",House,"$6,200",2016
"Cleaver, Emanuel (D-MO)",House,"$6,000",2016
"Kind, Ron (D-WI)",House,"$6,000",2016
"Ros-Lehtinen, Ileana (R-FL)",House,"$6,000",2016
"Tillis, Thom (R-NC)",Senate,"$6,000",2016
"Swalwell, Eric (D-CA)",House,"$5,825",2016
"Krishnamoorthi, Raja (D-IL)",House,"$5,750",2016
"Young, David (R-IA)",House,"$5,700",2016
"Gallagher, Mike (R-WI)",House,"$5,600",2016
"Heinrich, Martin (D-NM)",Senate,"$5,550",2016
"Peters, Scott (D-CA)",House,"$5,500",2016
"Schultz, Debbie Wasserman (D-FL)",House,"$5,500",2016
"Mowrer, Jim (D-IA)",House,"$5,447",2016
"Jones, Scott (R-CA)",House,"$5,400",2016
"Obama, Barack (D)",Pres,"$5,300",2016
"Boustany, Charles Jr (R-LA)",House,"$5,200",2016
"Moran, Jerry (R-KS)",Senate,"$5,200",2016
"Warren, Elizabeth (D-MA)",Senate,"$5,189",2016
"Baldwin, Tammy (D-WI)",Senate,"$5,005",2016
"Arrington, Jodey (R-TX)",House,"$5,000",2016
"Barton, Joe (R-TX)",House,"$5,000",2016
"Bass, Karen (D-CA)",House,"$5,000",2016
"Bishop, Rob (R-UT)",House,"$5,000",2016
"Blackburn, Marsha (R-TN)",House,"$5,000",2016
"Brown, Sherrod (D-OH)",Senate,"$5,000",2016
"Buchanan, Vernon (R-FL)",House,"$5,000",2016
"Capito, Shelley Moore (R-WV)",Senate,"$5,000",2016
"Cardin, Ben (D-MD)",Senate,"$5,000",2016
"Chabot, Steve (R-OH)",House,"$5,000",2016
"Chu, Judy (D-CA)",House,"$5,000",2016
"Cohen, Steve (D-TN)",House,"$5,000",2016
"Cole, Tom (R-OK)",House,"$5,000",2016
"Conaway, Mike (R-TX)",House,"$5,000",2016
"Conyers, John Jr (D-MI)",House,"$5,000",2016
"Crapo, Mike (R-ID)",Senate,"$5,000",2016
"DeGette, Diana (D-CO)",House,"$5,000",2016
"Dent, Charlie (R-PA)",House,"$5,000",2016
"Doyle, Mike (D-PA)",House,"$5,000",2016
"Ernst, Joni (R-IA)",Senate,"$5,000",2016
"Ferguson, Drew (R-GA)",House,"$5,000",2016
"Flores, Bill (R-TX)",House,"$5,000",2016
"Graves, Sam (R-MO)",House,"$5,000",2016
"Hall, Isadore (D-CA)",House,"$5,000",2016
"Heller, Dean (R-NV)",Senate,"$5,000",2016
"Hensarling, Jeb (R-TX)",House,"$5,000",2016
"Hoeven, John (R-ND)",Senate,"$5,000",2016
"Holding, George (R-NC)",House,"$5,000",2016
"Jeffries, Hakeem (D-NY)",House,"$5,000",2016
"King, Angus (I-ME)",Senate,"$5,000",2016
"Kustoff, David (R-TN)",House,"$5,000",2016
"Lankford, James (R-OK)",Senate,"$5,000",2016
"LoBiondo, Frank (R-NJ)",House,"$5,000",2016
"Manchin, Joe (D-WV)",Senate,"$5,000",2016
"Marshall, Roger (R-KS)",House,"$5,000",2016
"Messer, Luke (R-IN)",House,"$5,000",2016
"Mitchell, Paul (R-MI)",House,"$5,000",2016
"Mullin, Markwayne (R-OK)",House,"$5,000",2016
"Murphy, Tim (R-PA)",House,"$5,000",2016
"Pompeo, Mike (R-KS)",House,"$5,000",2016
"Price, Tom (R-GA)",House,"$5,000",2016
"Raskin, Jamie (D-MD)",House,"$5,000",2016
"Reichert, Dave (R-WA)",House,"$5,000",2016
"Richmond, Cedric (D-LA)",House,"$5,000",2016
"Rochester, Lisa Blunt (D-DE)",House,"$5,000",2016
"Rogers, Hal (R-KY)",House,"$5,000",2016
"Schrader, Kurt (D-OR)",House,"$5,000",2016
"Sessions, Pete (R-TX)",House,"$5,000",2016
"Smith, Lamar (R-TX)",House,"$5,000",2016
"Smucker, Lloyd (R-PA)",House,"$5,000",2016
"Thompson, Mike (D-CA)",House,"$5,000",2016
"Thornberry, Mac (R-TX)",House,"$5,000",2016
"Tiberi, Pat (R-OH)",House,"$5,000",2016
"Tonko, Paul (D-NY)",House,"$5,000",2016
"Yarmuth, John A (D-KY)",House,"$5,000",2016
"Cruz, Ted (R-TX)",Senate,"$4,931",2016
"Gallego, Pete (D-TX)",House,"$4,850",2016
"Plumb, John (D-NY)",House,"$4,804",2016
"Stefanik, Elise (R-NY)",House,"$4,750",2016
"Warner, Mark (D-VA)",Senate,"$4,700",2016
"Connolly, Gerry (D-VA)",House,"$4,500",2016
"Nelson, Bill (D-FL)",Senate,"$4,500",2016
"Rush, Bobby L (D-IL)",House,"$4,500",2016
"Driskell, Gretchen (D-MI)",House,"$4,300",2016
"Murphy, Stephanie (D-FL)",House,"$4,300",2016
"Schneider, Brad (D-IL)",House,"$4,223",2016
"Bera, Ami (D-CA)",House,"$4,195",2016
"Caforio, Bryan (D-CA)",House,"$4,161",2016
"O'Halleran, Tom (D-AZ)",House,"$4,150",2016
"Suozzi, Tom (D-NY)",House,"$4,100",2016
"Bishop, Mike (R-MI)",House,"$4,000",2016
"Brooks, Susan (R-IN)",House,"$4,000",2016
"Casey, Bob (D-PA)",Senate,"$4,000",2016
"Castor, Kathy (D-FL)",House,"$4,000",2016
"Cicilline, David (D-RI)",House,"$4,000",2016
"Davis, Danny K (D-IL)",House,"$4,000",2016
"DeFazio, Peter (D-OR)",House,"$4,000",2016
"Dold, Bob (R-IL)",House,"$4,000",2016
"Donovan, Dan (R-NY)",House,"$4,000",2016
"Engel, Eliot L (D-NY)",House,"$4,000",2016
"Foxx, Virginia (R-NC)",House,"$4,000",2016
"Gowdy, Trey (R-SC)",House,"$4,000",2016
"Heitkamp, Heidi (D-ND)",Senate,"$4,000",2016
"Jenkins, Lynn (R-KS)",House,"$4,000",2016
"Kildee, Dan (D-MI)",House,"$4,000",2016
"Kilmer, Derek (D-WA)",House,"$4,000",2016
"Levin, Sander (D-MI)",House,"$4,000",2016
"Lewis, John (D-GA)",House,"$4,000",2016
"Loebsack, David (D-IA)",House,"$4,000",2016
"Love, Mia (R-UT)",House,"$4,000",2016
"McSally, Martha (R-AZ)",House,"$4,000",2016
"Mica, John L (R-FL)",House,"$4,000",2016
"Murphy, Christopher S (D-CT)",Senate,"$4,000",2016
"Tester, Jon (D-MT)",Senate,"$4,000",2016
"Woodall, Rob (R-GA)",House,"$4,000",2016
"Applegate, Douglas L (D-CA)",House,"$3,778",2016
"Kihuen, Ruben (D-NV)",House,"$3,694",2016
"Ruiz, Raul (D-CA)",House,"$3,679",2016
"Franken, Al (D-MN)",Senate,"$3,505",2016
"Aguilar, Pete (D-CA)",House,"$3,500",2016
"Blumenauer, Earl (D-OR)",House,"$3,500",2016
"Brownley, Julia (D-CA)",House,"$3,500",2016
"Bustos, Cheri (D-IL)",House,"$3,500",2016
"Deutch, Ted (D-FL)",House,"$3,500",2016
"Lieu, Ted (D-CA)",House,"$3,500",2016
"Maloney, Sean Patrick (D-NY)",House,"$3,500",2016
"Pascrell, Bill Jr (D-NJ)",House,"$3,500",2016
"Sinema, Kyrsten (D-AZ)",House,"$3,500",2016
"Trott, Dave (R-MI)",House,"$3,500",2016
"Throne-Holst, Anna (D-NY)",House,"$3,400",2016
"McNerney, Jerry (D-CA)",House,"$3,350",2016
"Blumenthal, Richard (D-CT)",Senate,"$3,200",2016
"Gottheimer, Josh (D-NJ)",House,"$3,142",2016
"Shea-Porter, Carol (D-NH)",House,"$3,062",2016
"Bilirakis, Gus (R-FL)",House,"$3,000",2016
"Boozman, John (R-AR)",Senate,"$3,000",2016
"Bucshon, Larry (R-IN)",House,"$3,000",2016
"Capuano, Michael E (D-MA)",House,"$3,000",2016
"Clarke, Yvette D (D-NY)",House,"$3,000",2016
"Collins, Doug (R-GA)",House,"$3,000",2016
"Doggett, Lloyd (D-TX)",House,"$3,000",2016
"Donnelly, Joe (D-IN)",Senate,"$3,000",2016
"Fudge, Marcia L (D-OH)",House,"$3,000",2016
"Gardner, Cory (R-CO)",Senate,"$3,000",2016
"Harper, Gregg (R-MS)",House,"$3,000",2016
"Himes, Jim (D-CT)",House,"$3,000",2016
"Hirono, Mazie K (D-HI)",Senate,"$3,000",2016
"Hudson, Richard (R-NC)",House,"$3,000",2016
"Jackson Lee, Sheila (D-TX)",House,"$3,000",2016
"Johnson, Hank (D-GA)",House,"$3,000",2016
"Latta, Robert E (R-OH)",House,"$3,000",2016
"Lucas, Frank D (R-OK)",House,"$3,000",2016
"Markey, Ed (D-MA)",Senate,"$3,000",2016
"Meehan, Patrick (R-PA)",House,"$3,000",2016
"Peters, Gary (D-MI)",Senate,"$3,000",2016
"Price, David (D-NC)",House,"$3,000",2016
"Reed, Tom (R-NY)",House,"$3,000",2016
"Schakowsky, Jan (D-IL)",House,"$3,000",2016
"Smith, Adrian (R-NE)",House,"$3,000",2016
"Speier, Jackie (D-CA)",House,"$3,000",2016
"Stivers, Steve (R-OH)",House,"$3,000",2016
